Operador,Numero Query,Query,Precision,Recall,F1,NDCG,AVG Precision,AVG Recall,AVG F1,AVG NDCG,IndexData,Weigth_NormOps,Treshold_NormOps,Min Clauses_NormOps,Input WeigthNorm,Function_NormOps,FieldName_Clauses,IdField_clauses,DocData_clauses,DocDataNorm_clauses,Weigth_clauses,Max_clauses,Power_clauses
NormOps,1," the crystalline lens in vertebrates, including humans. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,2, the relationship of blood and cerebrospinal fluid oxygen concentrations or partial pressures.  a method of interest is polarography. ,0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,3, electron microscopy of lung or bronchi. ,0.8,0.4,0.5333333333333333,0.5637884576902257,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,4, tissue culture of lung or bronchial neoplasms. ,0.6666666666666666,0.2,0.30769230769230765,0.24890832702259466,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,5, the crossing of fatty acids through the placental barrier.  normal fatty acid levels in placenta and fetus. ,0.2,0.2,0.20000000000000004,0.24890832702259466,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,6, ventricular septal defect occurring in association with aortic regurgitation. ,0.4,0.4,0.4000000000000001,0.35424542315054164,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,7," radioisotopes in heart scanning.  mainly used in diagnosis of pericardial effusions.  also used to study tumors, heart enlargement, aneurysms and pericardial thickening.  technetium, rihsa, radioactive hippurate, cholegraffin are used. ",0.1,0.1,0.10000000000000002,0.07336392209936006,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,8," the effects of drugs on the bone marrow of man and animals, specifically the effect of pesticides.  also, the significance of bone marrow changes. ",0.0,0.0,0,0.0,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,9," the use of induced hypothermia in heart surgery, neurosurgery, head injuries and infectious diseases. ",0.1,0.1,0.10000000000000002,0.13886244387355456,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
NormOps,10, neoplasm immunology. ,0.2,0.1,0.13333333333333333,0.2200917662980802,0.18199233716475097,0.1314176245210728,0.14430638931546375,0.15772471435216992,medline,2.0,0.5,5,SUM,AVG,content,content,TF,SIGMOID,IDF,5,1
